time,open,high,low,close,volume
2025-10-09 01:17:00,227.24,227.91,227.24,227.91,91.1531547
2025-10-09 01:18:00,227.82,227.82,227.57,227.57,48.32407371
2025-10-09 01:19:00,227.49,227.49,227.0,227.01,1413.22714875
2025-10-09 01:20:00,227.02,227.48,227.02,227.48,116.35392025
2025-10-09 01:21:00,227.48,227.48,227.44,227.48,11.92146991
2025-10-09 01:22:00,227.37,227.37,227.36,227.36,22.11090297
2025-10-09 01:23:00,227.39,227.39,227.22,227.32,51.3430034
2025-10-09 01:24:00,227.22,227.23,227.22,227.23,27.81238455
2025-10-09 01:25:00,227.38,227.39,227.38,227.39,17.68218761
2025-10-09 01:26:00,227.38,227.39,227.38,227.39,0.426837
2025-10-09 01:27:00,227.38,227.39,227.0,227.0,68.61489041
2025-10-09 01:28:00,227.0,227.01,226.7,226.71,154.30272055
2025-10-09 01:29:00,226.82,226.82,226.72,226.76,16.95264627
2025-10-09 01:30:00,226.75,226.75,226.49,226.5,110.89628532
2025-10-09 01:31:00,226.5,226.83,226.5,226.8,518.20364375
2025-10-09 01:32:00,226.73,226.85,226.73,226.85,9.33380524
2025-10-09 01:33:00,226.71,226.71,226.46,226.65,8.82289405
2025-10-09 01:34:00,226.51,226.51,226.35,226.35,18.57781578
2025-10-09 01:35:00,226.46,226.63,226.46,226.59,401.24653576
2025-10-09 01:36:00,226.64,226.64,226.53,226.54,4.8056242
2025-10-09 01:37:00,226.54,226.59,226.54,226.57,622.00512197
2025-10-09 01:38:00,226.53,226.53,226.33,226.33,29.64148016
2025-10-09 01:39:00,226.33,226.34,226.25,226.26,96.19131567
2025-10-09 01:40:00,226.34,226.34,226.33,226.33,0.11271
2025-10-09 01:41:00,226.34,226.34,226.27,226.28,1.529918
2025-10-09 01:42:00,226.28,226.28,226.28,226.28,23.79147673
2025-10-09 01:43:00,226.28,226.44,226.28,226.29,168.03691092
2025-10-09 01:44:00,226.33,226.33,226.17,226.18,7.79817119
2025-10-09 01:45:00,226.18,226.52,226.17,226.52,16.76851776
2025-10-09 01:46:00,226.55,226.81,226.51,226.81,9.66765883
2025-10-09 01:47:00,226.78,227.08,226.78,227.08,11.2350291
2025-10-09 01:48:00,227.09,227.14,227.09,227.13,2.58190164
2025-10-09 01:49:00,227.19,227.33,227.08,227.33,40.55663629
2025-10-09 01:50:00,227.33,227.33,227.13,227.13,15.64600536
2025-10-09 01:51:00,227.13,227.13,227.05,227.1,14.7688496
2025-10-09 01:52:00,227.1,227.31,227.09,227.31,17.47558092
2025-10-09 01:53:00,227.31,227.43,227.26,227.43,451.88415163
2025-10-09 01:54:00,227.47,227.73,227.47,227.65,569.30751328
2025-10-09 01:55:00,227.78,227.78,227.69,227.69,3.34455092
2025-10-09 01:56:00,227.69,228.21,227.69,228.21,775.14287552
2025-10-09 01:57:00,228.25,228.25,228.22,228.25,2.82481061
2025-10-09 01:58:00,228.25,228.63,228.24,228.63,273.62268196
2025-10-09 01:59:00,228.57,228.57,228.43,228.43,22.61489286
2025-10-09 02:00:00,228.48,228.65,228.48,228.51,19.03994046
2025-10-09 02:01:00,228.34,228.34,228.0,228.0,31.18807785
2025-10-09 02:02:00,227.97,227.97,227.51,227.51,64.79317066
2025-10-09 02:03:00,227.55,227.75,227.44,227.73,41.697327
2025-10-09 02:04:00,227.68,227.75,227.61,227.61,8.54678562
2025-10-09 02:05:00,227.6,227.6,227.37,227.37,17.74071477
2025-10-09 02:06:00,227.41,227.44,227.34,227.34,0.98304192
2025-10-09 02:07:00,227.42,227.42,227.07,227.07,108.00807036
2025-10-09 02:08:00,227.04,227.04,226.82,226.82,6.03780527
2025-10-09 02:09:00,227.02,227.02,227.02,227.02,15.67403365
2025-10-09 02:10:00,227.27,227.27,227.03,227.03,33.63563
2025-10-09 02:11:00,226.94,226.99,226.8,226.99,207.12020717
2025-10-09 02:12:00,227.0,227.38,226.96,227.38,555.55466138
2025-10-09 02:13:00,227.27,227.27,227.27,227.27,0.05687
2025-10-09 02:14:00,227.31,227.39,227.31,227.37,92.48212338
2025-10-09 02:15:00,227.39,227.42,227.3,227.3,20.10833476
2025-10-09 02:16:00,227.22,227.23,227.06,227.06,14.65505515
2025-10-09 02:17:00,226.96,227.08,226.96,226.98,164.59082895
2025-10-09 02:18:00,226.93,226.93,226.69,226.7,87.32109198
2025-10-09 02:19:00,226.7,226.7,226.14,226.14,242.9818479
2025-10-09 02:20:00,226.13,226.5,226.13,226.5,321.80106926
2025-10-09 02:21:00,226.63,226.78,226.63,226.77,8.21989911
2025-10-09 02:22:00,226.8,226.88,226.7,226.7,15.87756035
2025-10-09 02:23:00,226.5,226.5,226.21,226.4,51.00652588
2025-10-09 02:24:00,226.46,226.46,226.37,226.37,88.16545806
2025-10-09 02:25:00,226.38,226.62,226.37,226.62,118.49743402
2025-10-09 02:26:00,226.7,226.94,226.7,226.94,10.36872024
2025-10-09 02:27:00,226.8,226.8,226.7,226.7,14.02809844
2025-10-09 02:28:00,226.81,227.29,226.77,227.29,231.64900923
2025-10-09 02:29:00,227.19,227.29,226.99,227.04,7.05531645
2025-10-09 02:30:00,227.0,227.3,227.0,227.3,255.72353669
2025-10-09 02:31:00,227.43,227.54,227.43,227.48,16.25660461
2025-10-09 02:32:00,227.4,227.4,227.19,227.19,38.89466135
2025-10-09 02:33:00,227.2,227.2,227.06,227.06,3.272111
2025-10-09 02:34:00,226.98,227.07,226.98,226.98,10.53827238
2025-10-09 02:35:00,226.97,226.97,226.72,226.81,28.47371137
2025-10-09 02:36:00,226.96,226.97,226.51,226.51,133.33653851
2025-10-09 02:37:00,226.51,226.51,226.5,226.5,10.42593882
2025-10-09 02:38:00,226.49,226.49,226.37,226.44,32.23034787
2025-10-09 02:39:00,226.48,226.48,226.42,226.43,11.78203076
2025-10-09 02:40:00,226.42,226.5,226.29,226.3,12.71032739
2025-10-09 02:41:00,226.24,226.24,225.79,225.79,2007.50788892
2025-10-09 02:42:00,225.79,225.79,225.43,225.49,2840.70257227
2025-10-09 02:43:00,225.42,225.69,225.29,225.69,3534.36978773
2025-10-09 02:44:00,225.71,225.78,225.65,225.65,335.81724857
2025-10-09 02:45:00,225.8,225.9,225.8,225.9,745.35076667
2025-10-09 02:46:00,225.76,225.76,225.62,225.62,12.56878212
2025-10-09 02:47:00,225.58,225.58,225.28,225.29,11.33000445
2025-10-09 02:48:00,225.28,225.28,225.09,225.1,279.43509655
2025-10-09 02:49:00,225.09,225.22,224.77,225.17,1219.99994983
2025-10-09 02:50:00,225.14,225.53,225.04,225.36,27.61685758
2025-10-09 02:51:00,225.33,225.42,225.32,225.42,101.25148029
2025-10-09 02:52:00,225.36,225.36,225.11,225.11,76.83337398
2025-10-09 02:53:00,225.07,225.07,224.76,224.76,38.94134024
2025-10-09 02:54:00,224.76,224.76,224.45,224.46,1679.77441716
2025-10-09 02:55:00,224.55,224.56,224.4,224.4,154.12850303
2025-10-09 02:56:00,224.41,224.69,224.21,224.21,87.18393108
2025-10-09 02:57:00,224.21,224.26,223.95,224.19,662.09607568
2025-10-09 02:58:00,224.19,224.56,224.19,224.49,448.21847135
2025-10-09 02:59:00,224.34,224.5,224.34,224.5,3.82124609
2025-10-09 03:00:00,224.5,225.01,224.5,225.01,515.64073272
2025-10-09 03:01:00,225.03,225.23,225.03,225.22,8.10492747
2025-10-09 03:02:00,225.43,225.43,225.42,225.43,0.3517
2025-10-09 03:03:00,225.51,225.51,225.14,225.14,139.88490506
2025-10-09 03:04:00,225.16,225.51,225.16,225.51,48.37593373
2025-10-09 03:05:00,225.51,225.6,225.46,225.46,24.75387684
2025-10-09 03:06:00,225.59,225.62,225.58,225.58,105.95801897
2025-10-09 03:07:00,225.62,225.62,225.59,225.59,19.52941097
2025-10-09 03:08:00,225.61,225.78,225.61,225.76,138.70985594
2025-10-09 03:09:00,225.69,225.69,225.55,225.55,4.57934809
